Player,G,Min,FGA,FGM,FG%,FTA,FTM,FT%,3PA,3PM,3PT%,P,Off,Def,Reb,Ast,Stl,Blk,TO,PF
Helene Haegerstrand,16,452,143,58,40.6,46,40,87.0,51,16,31.4,172,11,38,49,29,12,9,32,32
Ellen Hahne,16,497,155,64,41.3,31,20,64.5,23,5,21.7,153,35,74,109,38,17,3,54,37
Kyara Frames,16,524,113,41,36.3,33,25,75.8,62,20,32.3,127,4,44,48,32,18,1,40,31
Lucia Decortes,16,384,95,43,45.3,27,15,55.6,0,0,0.0,101,32,43,75,22,16,23,40,46
Kayla Cooper,16,292,107,37,34.6,38,17,44.7,9,2,22.2,93,22,55,77,11,12,10,23,36
Grace Heeps,16,404,79,22,27.8,4,2,50.0,57,18,31.6,64,8,39,47,18,11,1,30,18
Stella Popp,10,172,22,10,45.5,1,0,0.0,5,0,0.0,20,8,17,25,4,6,0,13,11
Fatima Lee,10,132,27,7,25.9,0,0,0.0,15,5,33.3,19,0,11,11,5,4,0,11,6
Izzy Om,14,150,30,8,26.7,2,1,50.0,14,2,14.3,19,1,5,6,12,2,0,7,4
Chay Hayes,6,63,13,4,30.8,6,5,83.3,5,1,20.0,14,4,7,11,2,1,2,7,12
Taniya Hanner,9,53,8,4,50.0,0,0,0.0,0,0,0.0,8,2,2,4,0,1,1,6,5
Abby Robinson,6,14,2,2,100.0,2,2,100.0,0,0,0.0,6,2,1,3,0,1,0,2,2
Maky Johnson,10,51,7,2,28.6,0,0,0.0,4,1,25.0,5,5,2,7,2,1,0,3,6
Logan Thayne,3,8,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1,1,0,0,1,0,1
